# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
--PJHxphWEs, 30.000, 40.000, "/m/09x0r,/t/dd00088"
--cB2ZVjpnA, 30.000, 40.000, "/m/01y3hg"
-0mjrMposBM, 80.000, 90.000, "/m/04zmvq"
-30H9V1IKps, 6.000, 16.000, "/m/07yv9,/m/09x0r,/m/0gvgw0"
-4RWqM0UCCY, 0.000, 10.000, "/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9"
-5S70zOSw30, 30.000, 40.000, "/m/030rvx,/m/07pzfmf,/m/09x0r"
-60XojQWWoc, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
-64xnyOswXA, 120.000, 130.000, "/m/0cdnk"
-7J4109yM7w, 30.000, 40.000, "/m/02mk9,/m/07yv9,/t/dd00130"
-7QVE8o9uk4, 30.000, 40.000, "/m/01yg9g,/m/04rlf,/m/07yv9"
-8n2NqDFRko, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r"
-A0MTi2NMGI, 30.000, 40.000, "/t/dd00134"
-AIrHVeCgtM, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r"
-DvxsHG1tuo, 410.000, 420.000, "/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r"
-EFS2mihxs0, 240.000, 250.000, "/m/02rhddq,/m/07yv9,/t/dd00129"
-FVBrg2qeIA, 90.000, 100.000, "/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y"
-GI5PbO6j50, 30.000, 40.000, "/m/03qc9zr"
-GiRtQZlnbw, 280.000, 290.000, "/m/04_sv,/m/07yv9"
-HvtS74RG8w, 240.000, 250.000, "/m/03l9g"
-JbPonixXS4, 0.000, 10.000, "/m/01j4z9,/m/0_ksk"
-K4R9SXZZsk, 10.000, 20.000, "/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j"
-ODqYMQFwsY, 30.000, 40.000, "/t/dd00134"
-ODzHayGHvk, 50.000, 60.000, "/m/0ghcn6"
-QSNQGKiGT4, 260.000, 270.000, "/m/03qc9zr"
-QVqh513RxQ, 15.000, 25.000, "/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QoZQDW4qjU, 30.000, 40.000, "/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-Ry1YNVPPCM, 9.000, 19.000, "/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-TpdnwhYCvk, 30.000, 40.000, "/m/07qsvvw"
-UNPp3fEWSE, 0.000, 10.000, "/m/01d380,/m/07k1x,/m/0_ksk"
-UbFLKplzbE, 30.000, 40.000, "/m/01j4z9"
-VXpZuIsb_g, 30.000, 40.000, "/m/030rvx,/m/09x0r"
-XVgCqsHi3g, 30.000, 40.000, "/m/02mk9,/m/04229,/m/07pb8fc,/m/07yv9,/t/dd00067"
-Y1qiiugnk8, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9"
-ZjxFZOaY50, 30.000, 40.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
-_dElQcyJnA, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq"
-d6ytV5GfH4, 30.000, 40.000, "/m/07yv9,/m/09ct_"
-fIQkUYrSz4, 0.000, 10.000, "/m/07pxg6y"
